location,Kathmandu,Kathmandu,Kathmandu
lat,27.80793,27.80793,27.80793
lon,85.30983,85.30983,85.30983
asl,1260.200,1260.200,1260.200
variable,Temperature,Temperature,Temperature
unit,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Maximum,Minimum,Mean
timestamp,Kathmandu Temperature [2 m elevation corrected],Kathmandu Temperature [2 m elevation corrected],Kathmandu Temperature [2 m elevation corrected]
20210902T0000,25.0308,17.7908,20.7733
20210903T0000,24.4808,19.0908,21.027466
20210904T0000,24.4808,18.2908,21.343718
20210905T0000,26.5408,18.6308,22.273718
20210906T0000,27.4308,19.1508,22.32997
20210907T0000,24.3608,19.8808,21.474968
20210908T0000,22.3108,19.0708,20.605799
20210909T0000,24.5508,19.5208,21.252468
20210910T0000,24.4008,18.3708,21.2633
20210911T0000,26.4908,19.2908,22.240799
20210912T0000,26.250801,20.0208,22.851633
20210913T0000,24.0308,20.8408,22.034136
20210914T0000,24.6108,18.9108,21.517466
20210915T0000,22.6208,18.2908,20.272882
20210916T0000,23.3008,18.1108,20.256216